index_content,word,nature,index_word
3,餐饮,n,0
3,途中,s,1
3,记得,v,2
3,先,d,3
3,吃,v,4
3,点,q,5
3,东西,ns,6
3,景区,n,7
3,换衣服,nz,8
3,坐,v,9
3,大巴,n,10
3,一段距离,n,11
3,月,m,12
3,日,m,13
3,吃,v,14
3,炸,n,15
3,洋芋,n,16
3,凉粉,n,17
3,凉面,n,18
3,太坑,n,19
3,难吃,a,20
3,分量,n,21
3,少,a,22
3,贵,a,23
3,吃,v,24
3,几家,m,25
3,点,m,26
3,零食,n,27
3,环境,n,28
3,水,n,29
3,清凉,a,30
3,多处,m,31
3,挺险,a,32
3,刺激,v,33
3,每一处,r,34
3,险,a,35
3,远,a,36
3,节奏,n,37
3,后期,t,38
3,疲乏,a,39
3,这条,mq,40
3,河,n,41
3,长,a,42
4,不错,a,0
4,好玩,v,1
4,意犹未尽,i,2
4,感觉,n,3
4,东西,ns,4
4,贵,a,5
4,手机袋,n,6
19,天气,n,0
19,冷,a,1
19,好玩,v,2
19,水,n,3
19,真的,d,4
19,冷,a,5
19,下水,v,6
19,太晚,nz,7
19,一点多,m,8
19,下水,v,9
19,特别,d,10
19,特别,d,11
19,冷,a,12
19,刺激,v,13
19,南江,ns,14
19,大峡谷,nz,15
19,好玩,v,16
19,去年,t,17
19,月份,n,18
19,感觉,n,19
19,月份,n,20
19,水,n,21
19,卖,v,22
19,东西,ns,23
19,价格,n,24
19,特别,d,25
19,贵,a,26
19,吃,v,27
19,点,q,28
19,热,a,29
19,舒服,a,30
19,刺激,v,31
19,好玩,v,32
31,建议,n,0
31,天气,n,1
31,温度,n,2
31,高,a,3
31,冷,a,4
59,总体,n,0
59,全程,n,1
59,刺激,v,2
59,环境,n,3
59,不错,a,4
59,人工,n,5
59,垃圾,n,6
59,看着,v,7
59,煞风景,l,8
59,工作人员,n,9
59,服务,vn,10
59,极差,n,11
59,两,m,12
59,星,n,13
61,有意思,l,0
61,惊险刺激,l,1
61,好玩,v,2
61,急流,n,3
61,地方,n,4
61,控制,v,5
61,不好,d,6
61,翻船,v,7
61,安全系数,nz,8
61,高,a,9
61,穿有,v,10
61,救生衣,n,11
61,戴,v,12
61,头盔,n,13
61,护膝,v,14
61,玩,v,15
61,开心,v,16
61,开车,v,17
61,这么久,r,18
61,值得,v,19
89,环境,n,0
89,不错,a,1
89,不好,d,2
89,受伤,v,3
89,关键,n,4
89,受伤,v,5
89,专业,n,6
89,一点,m,7
89,医生,n,8
89,药品,n,9
113,售票,n,0
113,中心,n,1
113,第一,m,2
113,感觉,n,3
113,停车位,n,4
113,进,v,5
113,售票,n,6
113,大厅,n,7
113,特别,d,8
113,热,n,9
113,空调,n,10
113,工作人员,n,11
113,统一,vn,12
113,服装,vn,13
113,有事,r,14
113,咨询,vn,15
113,找,v,16
113,不到,v,17
113,服务态度,n,18
113,差,a,19
113,订,v,20
113,票,n,21
113,自助,v,22
113,取票,v,23
113,机取票,n,24
113,排队,n,25
113,小时,n,26
113,自助,v,27
113,取票,v,28
113,机,n,29
113,台,q,30
113,一台,m,31
113,死机,n,32
113,建议,n,33
113,身份证,n,34
113,售票点,n,35
113,买票,n,36
113,订,v,37
113,取票,v,38
113,超级,b,39
113,慢,a,40
113,去取,v,41
113,装备,n,42
113,挤,v,43
113,护膝,v,44
113,鞋子,n,45
113,免费,vn,46
113,要钱,v,47
113,一双,m,48
113,车,n,49
113,起点,n,50
113,排队,n,51
113,小时,n,52
113,车,n,53
113,少,a,54
113,语,ng,55
113,起点,n,56
113,一团乱,i,57
113,船,n,58
113,抢,v,59
113,安全措施,nr,60
113,下船,v,61
113,丢,v,62
113,船,n,63
113,游客,n,64
113,抢,v,65
113,打气,v,66
113,回来,v,67
113,排,v,68
113,小时,n,69
113,坐到,v,70
113,车,n,71
113,反正,d,72
113,差,a,73
113,评,n,74
113,不值,n,75
113,水瓢,n,76
113,水枪,n,77
113,起点,n,78
113,不贵,a,79
113,小吃,n,80
113,鸡腿,n,81
113,块,zg,82
113,排骨,n,83
113,矿泉水,n,84
113,块,zg,85
113,总体,n,86
113,恐怖,a,87
113,急,v,88
113,水,n,89
113,下午,t,90
113,点,m,91
113,漂水,v,92
113,特别,d,93
113,冷,a,94
113,太阳,ns,95
113,晒,v,96
114,体验,n,0
114,感,v,1
114,挺棒,n,2
114,惊险,a,3
114,几处,m,4
114,稍微,d,5
114,落差,a,6
114,开车,v,7
114,开,v,8
114,大厅,n,9
114,售票处,l,10
114,两台,m,11
114,售票机,n,12
114,取完,v,13
114,票,n,14
114,领,n,15
114,救生衣,n,16
114,头盔,n,17
114,护膝,v,18
114,太多人,nrt,19
114,用过,v,20
114,原因,n,21
114,脏,a,22
114,排队,n,23
114,坐,v,24
114,分钟,q,25
