index_content,word,nature,index_word
6,连续,a,0
6,三四年,m,1
6,真的,d,2
6,不错,a,3
6,值得,v,4
6,朋友,n,5
6,小伙伴,n,6
6,玩,v,7
6,下次,t,8
6,想,v,9
6,建议,n,10
6,天气晴朗,nr,11
6,身体素质,n,12
20,喜欢,v,0
20,今年夏天,nr,1
20,想要,v,2
20,玩,v,3
20,刺激,v,4
20,年,m,5
20,年,m,6
20,夏天,t,7
20,想,v,8
26,太棒了,nr,0
26,回头客,n,1
26,强烈推荐,i,2
26,话,n,3
26,看图,v,4
26,说话,v,5
34,第一次,m,0
34,耍,v,1
34,男朋友,n,2
34,贵阳,ns,3
34,路上,s,4
34,想起,v,5
34,玩,v,6
34,刺激,v,7
34,还好,v,8
34,翻船,v,9
34,男朋友,n,10
34,非,d,11
34,太胖,a,12
34,翻,v,13
34,买好,v,14
34,一点,m,15
34,一点,m,16
34,防水,v,17
34,袋,q,18
34,手机,n,19
34,进水,v,20
34,玩,v,21
34,心心念念,n,22
34,想,v,23
34,天气,n,24
36,环境,n,0
36,不错,a,1
36,设施,n,2
36,惊险刺激,l,3
36,安全员,n,4
36,责任心,n,5
36,值得,v,6
36,拥有,v,7
43,环境,n,0
43,不错,a,1
43,设施,n,2
43,惊险刺激,l,3
43,值得,v,4
43,拥有,v,5
53,刺激,v,0
53,回来,v,1
53,摔成,v,2
53,脑震荡,l,3
53,值得,v,4
53,冒险,n,5
85,几个,m,0
85,激流,n,1
85,刺激,v,2
85,值得,v,3
112,一路,m,0
112,风景,n,1
112,刺激,v,2
112,值得,v,3
112,游,n,4
119,刺激,v,0
119,值得,v,1
119,玩,v,2
119,配套,a,3
119,设施,n,4
119,完善,v,5
122,配值,v,0
122,景区,n,1
122,配有,v,2
122,若要,c,3
122,穿,v,4
122,鞋,n,5
122,穿,zg,6
122,拖鞋,n,7
122,进场,n,8
122,建议,n,9
122,防晒,v,10
122,水流,n,11
122,有急,a,12
122,有缓,a,13
122,漂程,n,14
122,小时,n,15
122,沿途,b,16
122,安防,v,17
122,员,zg,18
122,两岸,f,19
122,商户,n,20
122,美食,n,21
122,尽可先,d,22
122,享用,v,23
122,后付费,n,24
122,景区,n,25
122,信号,n,26
122,留下,v,27
122,电话,n,28
122,加个,b,29
122,微信,vn,30
122,信号,n,31
122,再付,v,32
122,相互信任,l,33
122,点,m,34
122,赞,v,35
131,澄清,v,0
131,评论,n,1
131,慌慌,a,2
131,鹅,n,3
131,真实,d,4
131,体验,n,5
131,冷,a,6
131,急,v,7
131,晒,v,8
131,冷,a,9
131,是因为,c,10
131,穿,v,11
131,防晒,v,12
131,衣,n,13
131,建议,n,14
131,穿,v,15
131,长袖,n,16
131,长裤,n,17
131,刺激,v,18
131,程度,n,19
131,个人感觉,n,20
131,还好,v,21
131,每次,r,22
131,刺激,v,23
131,一段,m,24
131,一段,m,25
131,平稳,a,26
131,河流,n,27
