index_content,word,nature,index_word
1,听,v,0
1,朋友,n,1
1,时间,n,2
1,自驾游,i,3
1,贵阳,ns,4
1,出发,v,5
1,做,v,6
1,攻略,v,7
1,镇远,a,8
1,古镇,ns,9
1,西江,ns,10
1,千户,m,11
1,苗寨,nr,12
1,几个,m,13
1,地方,n,14
1,先,d,15
1,刺激,v,16
1,漂,v,17
1,三个,m,18
1,小时,n,19
1,玩,v,20
1,全身,n,21
1,湿漉漉,z,22
1,稍微,d,23
1,冷,a,24
1,天气,n,25
1,热,a,26
2,好玩,v,0
2,地方,n,1
2,适合,v,2
2,减压,v,3
2,适合,v,4
2,约会,n,5
2,适合,v,6
2,夏天,t,7
2,激流,n,8
2,地方,n,9
2,不错,a,10
2,做好,v,11
2,防晒,v,12
2,手机,n,13
2,防水,v,14
3,餐饮,n,0
3,途中,s,1
3,记得,v,2
3,先,d,3
3,吃,v,4
3,点,q,5
3,东西,ns,6
3,景区,n,7
3,换衣服,nz,8
3,坐,v,9
3,大巴,n,10
3,一段距离,n,11
3,月,m,12
3,日,m,13
3,吃,v,14
3,炸,n,15
3,洋芋,n,16
3,凉粉,n,17
3,凉面,n,18
3,太坑,n,19
3,难吃,a,20
3,分量,n,21
3,少,a,22
3,贵,a,23
3,吃,v,24
3,几家,m,25
3,点,m,26
3,零食,n,27
3,环境,n,28
3,水,n,29
3,清凉,a,30
3,多处,m,31
3,挺险,a,32
3,刺激,v,33
3,每一处,r,34
3,险,a,35
3,远,a,36
3,节奏,n,37
3,后期,t,38
3,疲乏,a,39
3,这条,mq,40
3,河,n,41
3,长,a,42
4,不错,a,0
4,好玩,v,1
4,意犹未尽,i,2
4,感觉,n,3
4,东西,ns,4
4,贵,a,5
4,手机袋,n,6
5,全程,n,0
5,两个,m,1
5,小时,n,2
5,多一点,m,3
5,感觉,n,4
5,不错,a,5
5,早点,d,6
5,挑,v,7
5,天气,n,8
5,一点,m,9
5,太阳,ns,10
5,一点,m,11
5,泡水,n,12
5,冷,a,13
5,不用,v,14
5,担心,v,15
5,晒黑,v,16
5,山谷,n,17
5,里,f,18
5,回荡,v,19
5,地方,n,20
5,水流,n,21
5,平稳,a,22
5,走,v,23
5,慢,a,24
5,地方,n,25
5,刺激,v,26
5,值得,v,27
5,玩,v,28
6,连续,a,0
6,三四年,m,1
6,真的,d,2
6,不错,a,3
6,值得,v,4
6,朋友,n,5
6,小伙伴,n,6
6,玩,v,7
6,下次,t,8
6,想,v,9
6,建议,n,10
6,天气晴朗,nr,11
6,身体素质,n,12
7,特别,d,0
7,好玩,v,1
7,刺激,v,2
7,穿,zg,3
7,泳裤,n,4
7,行,v,5
7,全,a,6
7,落汤鸡,i,7
7,太,d,8
8,年前,t,0
8,设备,vn,1
8,挺好,a,2
8,刺激,v,3
8,美,ns,4
8,中,f,5
8,不住,v,6
8,吹风机,n,7
9,全程,n,0
9,路线,n,1
9,急缓,d,2
9,交替,v,3
9,里程,n,4
9,合适,a,5
9,紧张,a,6
9,到达,v,7
9,终点,d,8
9,刺激,v,9
9,好玩,v,10
9,游泳,vn,11
9,不想,v,12
10,惊险刺激,l,0
10,全程,n,1
10,翻船,v,2
12,玩,v,0
12,真,n,1
12,开心,v,2
12,朋友,n,3
12,四个,m,4
12,只能,v,5
12,两个,m,6
12,坐,v,7
12,一条,m,8
12,船,n,9
12,噢,y,10
12,急流,n,11
12,点,m,12
12,救生员,n,13
12,翻船,v,14
12,水流,n,15
12,很急,a,16
12,水,n,17
12,缓,v,18
12,一点,m,19
12,地方,n,20
12,拍照,v,21
12,自驾游,i,22
12,车子,n,23
12,放,v,24
12,东西,ns,25
12,鞋子,n,26
12,免费,vn,27
12,卫生,an,28
13,挺好玩,a,0
13,妹妹,n,1
13,朋友,n,2
13,有个,r,3
13,孩子,n,4
13,掉,v,5
